id,name,name_upper,neighbourhood_group,price
2539,Clean & quiet apt home by the park,CLEAN & QUIET APT HOME BY THE PARK,Brooklyn,149
2595,Skylit Midtown Castle,SKYLIT MIDTOWN CASTLE,Manhattan,225
3647,THE VILLAGE OF HARLEM....NEW YORK !,THE VILLAGE OF HARLEM....NEW YORK !,Manhattan,150
3831,Cozy Entire Floor of Brownstone,COZY ENTIRE FLOOR OF BROWNSTONE,Brooklyn,89
5022,Entire Apt: Spacious Studio/Loft by central park,ENTIRE APT: SPACIOUS STUDIO/LOFT BY CENTRAL PARK,Manhattan,80
5099,Large Cozy 1 BR Apartment In Midtown East,LARGE COZY 1 BR APARTMENT IN MIDTOWN EAST,Manhattan,200
5121,BlissArtsSpace!,BLISSARTSSPACE!,Brooklyn,60
5178,Large Furnished Room Near B'way ,LARGE FURNISHED ROOM NEAR B'WAY ,Manhattan,79
5203,Cozy Clean Guest Room - Family Apt,COZY CLEAN GUEST ROOM - FAMILY APT,Manhattan,79
5238,Cute & Cozy Lower East Side 1 bdrm,CUTE & COZY LOWER EAST SIDE 1 BDRM,Manhattan,150
5295,Beautiful 1br on Upper West Side,BEAUTIFUL 1BR ON UPPER WEST SIDE,Manhattan,135
5441,Central Manhattan/near Broadway,CENTRAL MANHATTAN/NEAR BROADWAY,Manhattan,85
5803,"Lovely Room 1, Garden, Best Area, Legal rental","LOVELY ROOM 1, GARDEN, BEST AREA, LEGAL RENTAL",Brooklyn,89
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,WONDERFUL GUEST BEDROOM IN MANHATTAN FOR SINGLES,Manhattan,85
6090,West Village Nest - Superhost,WEST VILLAGE NEST - SUPERHOST,Manhattan,120
6848,Only 2 stops to Manhattan studio,ONLY 2 STOPS TO MANHATTAN STUDIO,Brooklyn,140
7097,Perfect for Your Parents + Garden,PERFECT FOR YOUR PARENTS + GARDEN,Brooklyn,215
7322,Chelsea Perfect,CHELSEA PERFECT,Manhattan,140
7726,Hip Historic Brownstone Apartment with Backyard,HIP HISTORIC BROWNSTONE APARTMENT WITH BACKYARD,Brooklyn,99
7750,Huge 2 BR Upper East  Cental Park,HUGE 2 BR UPPER EAST  CENTAL PARK,Manhattan,190
7801,Sweet and Spacious Brooklyn Loft,SWEET AND SPACIOUS BROOKLYN LOFT,Brooklyn,299
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,CBG CTYBGD HELPSHAITI RM#1:1-4,Brooklyn,130
8025,CBG Helps Haiti Room#2.5,CBG HELPS HAITI ROOM#2.5,Brooklyn,80
